Population - Total,Zip Code,community_area_number,community,gender_ratio M:F,dependency_ratio,pct_latinx,pct_black,pct_white,pct_asian,pct_other,youth_proportion
14804,60601,32,LOOP,0.79,0.17,0.08,0.06,0.55,0.26,0.05,0.07
1142,60602,32,LOOP,1.11,0.12,0.27,0.03,0.47,0.09,0.14,0.1
1275,60603,32,LOOP,1.14,0.13,0.06,0.06,0.57,0.31,0.0,0.03
687,60604,32,LOOP,0.63,0.09,0.04,0.1,0.75,0.1,0.0,0.01
32077,60605,33,NEAR SOUTH SIDE,0.96,0.18,0.09,0.14,0.57,0.15,0.04,0.09
3298,60606,32,LOOP,1.1,0.09,0.05,0.0,0.6,0.33,0.01,0.04
29990,60607,28,NEAR WEST SIDE,1.03,0.17,0.09,0.12,0.52,0.22,0.04,0.11
83689,60608,31,LOWER WEST SIDE,1.27,0.32,0.47,0.17,0.2,0.14,0.02,0.18
61861,60609,61,NEW CITY,1.0,0.48,0.54,0.24,0.15,0.06,0.01,0.25
42422,60610,8,NEAR NORTH SIDE,0.92,0.24,0.05,0.12,0.7,0.09,0.04,0.09
34562,60611,8,NEAR NORTH SIDE,0.9,0.26,0.06,0.03,0.67,0.2,0.03,0.06
33908,60612,28,NEAR WEST SIDE,0.89,0.39,0.15,0.55,0.23,0.05,0.03,0.22
53282,60613,6,LAKE VIEW,1.02,0.23,0.11,0.06,0.71,0.09,0.03,0.12
72119,60614,7,LINCOLN PARK,1.02,0.27,0.06,0.04,0.8,0.07,0.03,0.15
41767,60615,41,HYDE PARK,0.83,0.3,0.05,0.53,0.28,0.08,0.05,0.15
53085,60616,35,DOUGLAS,0.93,0.32,0.08,0.23,0.29,0.37,0.03,0.13
84193,60617,51,SOUTH DEERING,0.83,0.58,0.4,0.53,0.06,0.0,0.01,0.26
95078,60618,21,AVONDALE,0.99,0.38,0.38,0.03,0.48,0.06,0.04,0.22
63481,60619,44,CHATHAM,0.79,0.5,0.02,0.95,0.01,0.0,0.02,0.22
69357,60620,71,AUBURN GRESHAM,0.81,0.57,0.03,0.94,0.01,0.0,0.01,0.24
26538,60621,68,ENGLEWOOD,0.9,0.59,0.04,0.92,0.01,0.01,0.02,0.27
54650,60622,24,WEST TOWN,1.01,0.23,0.21,0.06,0.64,0.05,0.05,0.14
77352,60623,30,SOUTH LAWNDALE,0.94,0.54,0.67,0.28,0.04,0.0,0.01,0.26
36986,60624,26,WEST GARFIELD PARK,0.94,0.51,0.08,0.87,0.03,0.0,0.02,0.27
80028,60625,4,LINCOLN SQUARE,0.98,0.35,0.32,0.05,0.46,0.13,0.04,0.2
87395,60632,58,BRIGHTON PARK,1.05,0.52,0.83,0.01,0.09,0.07,0.0,0.26
12674,60633,55,HEGEWISCH,0.96,0.48,0.42,0.26,0.32,0.0,0.0,0.22
77520,60634,17,DUNNING,0.93,0.44,0.41,0.02,0.5,0.05,0.01,0.2
30412,60636,67,WEST ENGLEWOOD,0.93,0.63,0.14,0.83,0.01,0.0,0.02,0.22
49514,60637,42,WOODLAWN,0.82,0.46,0.03,0.73,0.15,0.05,0.04,0.23
58959,60638,56,GARFIELD RIDGE,1.04,0.49,0.55,0.03,0.41,0.01,0.01,0.24
89037,60639,19,BELMONT CRAGIN,0.98,0.51,0.75,0.13,0.09,0.02,0.01,0.26
67936,60640,3,UPTOWN,1.1,0.28,0.14,0.17,0.55,0.11,0.04,0.12
71003,60641,15,PORTAGE PARK,0.95,0.44,0.54,0.02,0.35,0.05,0.03,0.23
21374,60642,24,WEST TOWN,1.0,0.13,0.16,0.09,0.63,0.07,0.04,0.09
49796,60643,75,MORGAN PARK,0.85,0.55,0.04,0.71,0.21,0.01,0.03,0.23
47630,60644,25,AUSTIN,0.86,0.54,0.09,0.85,0.04,0.01,0.02,0.26
48585,60645,2,WEST RIDGE,1.02,0.55,0.21,0.15,0.44,0.15,0.05,0.27
29326,60646,12,FOREST GLEN,0.85,0.6,0.14,0.01,0.71,0.11,0.03,0.24
85564,60647,22,LOGAN SQUARE,1.0,0.28,0.37,0.06,0.49,0.04,0.03,0.17
48973,60649,43,SOUTH SHORE,0.85,0.45,0.03,0.92,0.03,0.01,0.01,0.22
64638,60651,23,HUMBOLDT PARK,0.88,0.5,0.39,0.53,0.06,0.0,0.02,0.25
43485,60652,70,ASHBURN,0.96,0.49,0.47,0.42,0.08,0.01,0.01,0.25
34519,60653,38,GRAND BOULEVARD,0.71,0.53,0.05,0.85,0.06,0.01,0.03,0.25
21859,60654,8,NEAR NORTH SIDE,1.03,0.09,0.08,0.04,0.71,0.12,0.04,0.04
28751,60655,74,MOUNT GREENWOOD,0.99,0.52,0.09,0.05,0.81,0.01,0.03,0.25
28665,60656,10,NORWOOD PARK,1.07,0.43,0.13,0.04,0.7,0.11,0.02,0.19
72113,60657,6,LAKE VIEW,1.09,0.23,0.09,0.04,0.77,0.07,0.04,0.13
43729,60659,2,WEST RIDGE,0.96,0.52,0.24,0.08,0.36,0.27,0.05,0.27
44972,60660,77,EDGEWATER,1.03,0.28,0.18,0.14,0.5,0.14,0.05,0.13
11073,60661,28,NEAR WEST SIDE,1.06,0.1,0.08,0.02,0.58,0.29,0.03,0.08
41309,60707,25,AUSTIN,0.88,0.47,0.41,0.07,0.47,0.04,0.02,0.21
26010,60827,54,RIVERDALE,0.82,0.6,0.07,0.9,0.02,0.0,0.02,0.32
50295,60626,1,ROGERS PARK,0.99,0.29,0.19,0.25,0.46,0.05,0.04,0.16
64489,60628,49,ROSELAND,0.84,0.51,0.04,0.92,0.02,0.0,0.02,0.21
107487,60629,66,CHICAGO LAWN,1.0,0.58,0.74,0.18,0.07,0.01,0.01,0.27
55591,60630,11,JEFFERSON PARK,1.0,0.43,0.26,0.02,0.56,0.13,0.04,0.2
30589,60631,10,NORWOOD PARK,0.97,0.54,0.15,0.01,0.76,0.04,0.04,0.23
